Age (Birthdate),Program Selection: Program Selection Name,Admissions Status
45,Computer Science: Scientific Computing (MS),Started App
25,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
32,Computer Science: Scientific Computing (MS),Started App
40,Computer Science: Scientific Computing (MS),Started App
21,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
27,Computer Science: Scientific Computing (MS),Started App
41,Computer Science: Scientific Computing (MS),Started App
26,Computer Science: Scientific Computing (MS),Started App
25,Computer Science: Scientific Computing (MS),Started App
21,Computer Science: Scientific Computing (MS),Started App
23,Computer Science: Scientific Computing (MS),Started App
23,Computer Science: Scientific Computing (MS),Started App
26,Computer Science: Scientific Computing (MS),Started App
25,Computer Science: Scientific Computing (MS),Started App
23,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
25,Computer Science: Scientific Computing (MS),Started App
21,Computer Science: Scientific Computing (MS),Started App
22,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
23,Computer Science: Scientific Computing (MS),Started App
22,Computer Science: Scientific Computing (MS),Started App
22,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
22,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
32,Computer Science: Scientific Computing (MS),Started App
21,Computer Science: Scientific Computing (MS),Started App
23,Computer Science: Scientific Computing (MS),Started App
22,Computer Science: Scientific Computing (MS),Started App
28,Computer Science: Scientific Computing (MS),Started App
21,Computer Science: Scientific Computing (MS),Started App
21,Computer Science: Scientific Computing (MS),Started App
36,Computer Science: Scientific Computing (MS),Started App
28,Computer Science: Scientific Computing (MS),Started App
26,Computer Science: Scientific Computing (MS),Started App
23,Computer Science: Scientific Computing (MS),Started App
25,Computer Science: Scientific Computing (MS),Started App
20,Computer Science: Scientific Computing (MS),Started App
24,Computer Science: Scientific Computing (MS),Started App
22,Computer Science: Scientific Computing (MS),Submitted App
25,Computer Science: Scientific Computing (MS),Submitted App
26,Computer Science: Scientific Computing (MS),Submitted App
25,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
21,Computer Science: Scientific Computing (MS),Submitted App
23,Computer Science: Scientific Computing (MS),Submitted App
27,Computer Science: Scientific Computing (MS),Submitted App
23,Computer Science: Scientific Computing (MS),Submitted App
21,Computer Science: Scientific Computing (MS),Submitted App
23,Computer Science: Scientific Computing (MS),Submitted App
25,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
23,Computer Science: Scientific Computing (MS),Submitted App
20,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
23,Computer Science: Scientific Computing (MS),Submitted App
25,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
21,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
24,Computer Science: Scientific Computing (MS),Submitted App
36,Computer Science: Scientific Computing (MS),Submitted App
39,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
23,Computer Science: Scientific Computing (MS),Submitted App
21,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Submitted App
22,Computer Science: Scientific Computing (MS),Complete App
32,Computer Science: Scientific Computing (MS),Complete App
22,Computer Science: Scientific Computing (MS),Complete App
21,Computer Science: Scientific Computing (MS),Complete App
22,Computer Science: Scientific Computing (MS),Complete App
25,Computer Science: Scientific Computing (MS),Complete App
21,Computer Science: Scientific Computing (MS),Complete App
26,Computer Science: Scientific Computing (MS),Complete App
21,Computer Science: Scientific Computing (MS),Complete App
25,Computer Science: Scientific Computing (MS),Complete App
22,Computer Science: Scientific Computing (MS),Admit
23,Computer Science: Scientific Computing (MS),Admit
21,Computer Science: Scientific Computing (MS),Admit
26,Computer Science: Scientific Computing (MS),Admit
25,Computer Science: Scientific Computing (MS),Admit
24,Computer Science: Scientific Computing (MS),Admit
21,Computer Science: Scientific Computing (MS),Admit
25,Computer Science: Scientific Computing (MS),Admit
27,Computer Science: Scientific Computing (MS),Admit-Coming
23,Computer Science: Scientific Computing (MS),Admit-Coming
23,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
27,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
26,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
25,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
25,Computer Science: Scientific Computing (MS),Admit-Coming
29,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
23,Computer Science: Scientific Computing (MS),Admit-Coming
24,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
25,Computer Science: Scientific Computing (MS),Admit-Coming
22,Computer Science: Scientific Computing (MS),Admit-Coming
24,Computer Science: Scientific Computing (MS),Admit-Coming
21,Computer Science: Scientific Computing (MS),Admit-Coming
27,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
24,Computer Science: Scientific Computing (MS),Admit-Not Coming
24,Computer Science: Scientific Computing (MS),Admit-Not Coming
25,Computer Science: Scientific Computing (MS),Admit-Not Coming
24,Computer Science: Scientific Computing (MS),Admit-Not Coming
25,Computer Science: Scientific Computing (MS),Admit-Not Coming
22,Computer Science: Scientific Computing (MS),Admit-Not Coming
22,Computer Science: Scientific Computing (MS),Admit-Not Coming
24,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
26,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
21,Computer Science: Scientific Computing (MS),Admit-Not Coming
28,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
22,Computer Science: Scientific Computing (MS),Admit-Not Coming
21,Computer Science: Scientific Computing (MS),Admit-Not Coming
25,Computer Science: Scientific Computing (MS),Admit-Not Coming
22,Computer Science: Scientific Computing (MS),Admit-Not Coming
21,Computer Science: Scientific Computing (MS),Admit-Not Coming
21,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
22,Computer Science: Scientific Computing (MS),Admit-Not Coming
25,Computer Science: Scientific Computing (MS),Admit-Not Coming
23,Computer Science: Scientific Computing (MS),Admit-Not Coming
28,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
29,Computer Science: Scientific Computing (MS),Admit-Withdrawn
25,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
25,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
27,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
42,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
26,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
25,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
25,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
26,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
26,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
26,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
25,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
29,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
25,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
24,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
21,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
22,Computer Science: Scientific Computing (MS),Admit-Withdrawn
23,Computer Science: Scientific Computing (MS),Admit-Withdrawn
41,Computer Science: Scientific Computing (MS),Deferred to Fall
26,Computer Science: Scientific Computing (MS),Deferred to Fall
27,Computer Science: Scientific Computing (MS),Deferred to Fall
23,Computer Science: Scientific Computing (MS),Deferred to Fall
25,Computer Science: Scientific Computing (MS),Deferred to Spring
24,Computer Science: Scientific Computing (MS),Deferred to Spring
23,Computer Science: Scientific Computing (MS),Deferred to Spring
22,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
33,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
33,Computer Science: Scientific Computing (MS),Withdrawn
33,Computer Science: Scientific Computing (MS),Withdrawn
31,Computer Science: Scientific Computing (MS),Withdrawn
29,Computer Science: Scientific Computing (MS),Withdrawn
30,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
27,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
30,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
26,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
26,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
36,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
29,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
23,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
32,Computer Science: Scientific Computing (MS),Withdrawn
21,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
41,Computer Science: Scientific Computing (MS),Withdrawn
21,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
26,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
21,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
49,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
36,Computer Science: Scientific Computing (MS),Withdrawn
22,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
24,Computer Science: Scientific Computing (MS),Withdrawn
27,Computer Science: Scientific Computing (MS),Withdrawn
25,Computer Science: Scientific Computing (MS),Withdrawn
26,Computer Science: Scientific Computing (MS),Denied
42,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
28,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
28,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
31,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
29,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
32,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
32,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
40,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
20,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
31,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
28,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
28,Computer Science: Scientific Computing (MS),Denied
20,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
31,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
31,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
26,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
29,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
28,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
40,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
29,Computer Science: Scientific Computing (MS),Denied
30,Computer Science: Scientific Computing (MS),Denied
39,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
36,Computer Science: Scientific Computing (MS),Denied
31,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
20,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
25,Computer Science: Scientific Computing (MS),Denied
20,Computer Science: Scientific Computing (MS),Denied
23,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
21,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
27,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
22,Computer Science: Scientific Computing (MS),Denied
24,Computer Science: Scientific Computing (MS),Denied
34,Computer Science: Scientific Computing (NOD),Started App
32,Computer Science: Scientific Computing (NOD),Submitted App
55,Computer Science: Scientific Computing (NOD),Withdrawn
22,Computer Science - Accelerated Degree BS/MS (MS),Started App
22,Computer Science - Accelerated Degree BS/MS (MS),Started App
20,Computer Science - Accelerated Degree BS/MS (MS),Withdrawn
38,Creative Writing (MFA) Camden,Started App
37,Creative Writing (MFA) Camden,Started App
23,Creative Writing (MFA) Camden,Started App
33,Creative Writing (MFA) Camden,Started App
51,Creative Writing (MFA) Camden,Started App
30,Creative Writing (MFA) Camden,Started App
40,Creative Writing (MFA) Camden,Started App
23,Creative Writing (MFA) Camden,Started App
32,Creative Writing (MFA) Camden,Started App
23,Creative Writing (MFA) Camden,Started App
25,Creative Writing (MFA) Camden,Started App
26,Creative Writing (MFA) Camden,Started App
32,Creative Writing (MFA) Camden,Started App
28,Creative Writing (MFA) Camden,Started App
23,Creative Writing (MFA) Camden,Started App
22,Creative Writing (MFA) Camden,Started App
26,Creative Writing (MFA) Camden,Started App
24,Creative Writing (MFA) Camden,Started App
67,Creative Writing (MFA) Camden,Started App
22,Creative Writing (MFA) Camden,Started App
24,Creative Writing (MFA) Camden,Started App
21,Creative Writing (MFA) Camden,Started App
29,Creative Writing (MFA) Camden,Started App
62,Creative Writing (MFA) Camden,Started App
24,Creative Writing (MFA) Camden,Started App
22,Creative Writing (MFA) Camden,Started App
27,Creative Writing (MFA) Camden,Started App
25,Creative Writing (MFA) Camden,Started App
29,Creative Writing (MFA) Camden,Started App
25,Creative Writing (MFA) Camden,Started App
28,Creative Writing (MFA) Camden,Started App
27,Creative Writing (MFA) Camden,Started App
27,Creative Writing (MFA) Camden,Started App
31,Creative Writing (MFA) Camden,Admit-Coming
29,Creative Writing (MFA) Camden,Admit-Coming
41,Creative Writing (MFA) Camden,Admit-Coming
33,Creative Writing (MFA) Camden,Admit-Coming
24,Creative Writing (MFA) Camden,Admit-Coming
30,Creative Writing (MFA) Camden,Admit-Coming
34,Creative Writing (MFA) Camden,Admit-Coming
39,Creative Writing (MFA) Camden,Admit-Coming
27,Creative Writing (MFA) Camden,Admit-Coming
29,Creative Writing (MFA) Camden,Admit-Not Coming
33,Creative Writing (MFA) Camden,Admit-Withdrawn
26,Creative Writing (MFA) Camden,Admit-Withdrawn
27,Creative Writing (MFA) Camden,Admit-Withdrawn
26,Creative Writing (MFA) Camden,Admit-Withdrawn
32,Creative Writing (MFA) Camden,Admit-Withdrawn
25,Creative Writing (MFA) Camden,Admit-Withdrawn
40,Creative Writing (MFA) Camden,Admit-Withdrawn
32,Creative Writing (MFA) Camden,Admit-Withdrawn
31,Creative Writing (MFA) Camden,Admit-Withdrawn
28,Creative Writing (MFA) Camden,Admit-Withdrawn
26,Creative Writing (MFA) Camden,Deferred to Fall
26,Creative Writing (MFA) Camden,Denied
27,Creative Writing (MFA) Camden,Denied
47,Creative Writing (MFA) Camden,Denied
50,Creative Writing (MFA) Camden,Denied
33,Creative Writing (MFA) Camden,Denied
23,Creative Writing (MFA) Camden,Denied
37,Creative Writing (MFA) Camden,Denied
26,Creative Writing (MFA) Camden,Denied
33,Creative Writing (MFA) Camden,Denied
29,Creative Writing (MFA) Camden,Denied
29,Creative Writing (MFA) Camden,Denied
23,Creative Writing (MFA) Camden,Denied
24,Creative Writing (MFA) Camden,Denied
29,Creative Writing (MFA) Camden,Denied
26,Creative Writing (MFA) Camden,Denied
61,Creative Writing (MFA) Camden,Denied
23,Creative Writing (MFA) Camden,Denied
35,Creative Writing (MFA) Camden,Denied
26,Creative Writing (MFA) Camden,Denied
26,Creative Writing (MFA) Camden,Denied
28,Creative Writing (MFA) Camden,Denied
27,Creative Writing (MFA) Camden,Denied
22,Creative Writing (MFA) Camden,Denied
26,Creative Writing (MFA) Camden,Denied
38,Creative Writing (MFA) Camden,Denied
27,Creative Writing (MFA) Camden,Denied
25,Creative Writing (MFA) Camden,Denied
27,Creative Writing (MFA) Camden,Denied
24,Creative Writing (MFA) Camden,Denied
34,Creative Writing (MFA) Camden,Denied
23,Creative Writing (MFA) Camden,Denied
22,Creative Writing (MFA) Camden,Denied
31,Creative Writing (MFA) Camden,Denied
39,Creative Writing (MFA) Camden,Denied
23,Creative Writing (MFA) Camden,Denied
22,Creative Writing (MFA) Camden,Denied
33,Creative Writing (MFA) Camden,Denied
33,Creative Writing (MFA) Camden,Denied
22,Creative Writing (MFA) Camden,Denied
28,Creative Writing (MFA) Camden,Denied
23,Creative Writing (MFA) Camden,Denied
32,Creative Writing (MFA) Camden,Denied
38,Creative Writing (MFA) Camden,Denied
24,Creative Writing (MFA) Camden,Denied
22,Creative Writing (MFA) Camden,Denied
30,Creative Writing (MFA) Camden,Denied
27,Creative Writing (MFA) Camden,Denied
34,Creative Writing (MFA) Camden,Denied
