CITY,STATE,ZIP,MARKET,COMP,COMP2,MEDIA
Huntington,West Virginia,25705,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mechanicsburg,Pennsylvania,17055,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mountain Brk,Alabama,35223-1249,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Brighton,Massachusetts,02135-3037,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Oklahoma City,Oklahoma,73170,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Brighton,Massachusetts,02135-5722,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hyde Park,New York,12538-3134,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Minneapolis,Minnesota,55414-1459,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tucson,Arizona,85706,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wilmington,North Carolina,28409-5827,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Eastpointe,Michigan,48021,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Jefferson,Georgia,30549,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Daly City,California,94015-4819,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Alexandria,Virginia,22315,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bayville,New Jersey,08721,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pahrump,Nevada,89048-4558,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lake Charles,Louisiana,70601,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Golden,Colorado,80403,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Melville,New York,11747-4304,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Suwanee,Georgia,30024,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mineola,New York,11501,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Jenison,Michigan,49428,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pittsburgh,Pennsylvania,15217,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cambridge,Massachusetts,02138,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sacramento,California,95864,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Macomb,Michigan,48044,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Washington,District Of Columbia,20007-2124,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Houston,Texas,77036,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Nanuet,New York,10954-3617,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sandy,Utah,84070-1370,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cincinnati,Ohio,45244,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Coopersburg,Pennsylvania,18036-9048,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fort Wayne,Indiana,46835,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Joseph,Missouri,64506,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Oxford,Ohio,45056,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Columbia,South Carolina,29209,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Merion Station,Pennsylvania,19066,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wilmington,Delaware,19808,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hartville,Ohio,44632-8935,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Abilene,Texas,79601-3259,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pembroke Pines,Florida,33029,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Georgetown,Indiana,47122,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Dallas,Georgia,30132,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Halifax,Pennsylvania,17032,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cochranville,Pennsylvania,19330,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Howell,New Jersey,07731,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Eugene,Oregon,97401-1109,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Verona,Wisconsin,53593-1567,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Huntington Beach,California,92646,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Eugene,Oregon,97402,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ashburn,Virginia,20147,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lynnfield,Massachusetts,01940-2203,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Long Beach,California,90815,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lockport,New York,14094,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Staten Island,New York,10307,GRE/PhD,Grad Application,RUC Grad Program List,Letter
West Fargo,North Dakota,58078,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hillsborough,New Jersey,08844,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ocean City,Maryland,21842-4470,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tulsa,Oklahoma,74133,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Dearborn Hts,Michigan,48125,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bronx,New York,10463-2662,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Iowa City,Iowa,52240-5222,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Provo,Utah,84606,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Alton,Illinois,62002,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tucson,Arizona,85749,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Madison,New Jersey,07940,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Memphis,Tennessee,38122,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hialeah,Florida,33010,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Brookhaven,Georgia,30319,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Trinity,Florida,34655,GRE/PhD,Grad Application,RUC Grad Program List,Letter
San Antonio,Texas,78260,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Auburn,New York,13021,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Duson,Louisiana,70529,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Matawan,New Jersey,07747,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Scottsdale,Arizona,85257,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Greenwich,Connecticut,06830-5212,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Simi Valley,California,93063,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Plano,Texas,75075,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tustin,California,92782,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Roslindale,Massachusetts,02131-3303,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Malvern,Pennsylvania,19355,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Athens,Georgia,30606,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Manhattan,Kansas,66502-1441,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Conway,Arkansas,72034-8565,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sammamish,Washington,98074,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New York,New York,10019,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Seal Beach,California,90740,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Spotsylvania,Virginia,22551,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Valley,Nebraska,68064-5231,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Frankfort,Illinois,60423,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pensacola,Florida,32504,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cockeysville,Maryland,21030,GRE/PhD,Grad Application,RUC Grad Program List,Letter
